,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
mean,0.04873875802997861,0.060115631691648824,0.07153854389721631,0.08706102783725923,0.10512526766595286,0.12826124197002162,0.1824325481798717,0.22619271948608133,0.3420781584582441,0.5963533190578154,0.6202676659528907,0.6431241970021399,0.6741231263383299,0.7102334047109212,0.7565246252676651,0.864872591006423,0.9523822269807275,1.199386509635974,0.1086788008565311,0.12714561027837257,0.14334582441113491,0.16380942184154182,0.18562098501070648,0.21120877944325495,0.2634154175588867,0.2997483940042824,0.3832451820128476,-0.0033361884368308795,0.009222698072805124,0.010435760171306194,0.012998929336188422,0.014801927194860795,0.016789079229122025,0.019221627408993573,0.021698072805139176,0.03555888650963603,strahler1
std,0.040986995780460896,0.04941594042447931,0.057656930753388826,0.06852035569132489,0.08072794708262311,0.09588290161460326,0.1299833085604651,0.15610668196052666,0.22229554908020727,0.08207116226136514,0.09881600841617322,0.11531193350066177,0.13701340027434758,0.16146837968973402,0.19177177210482776,0.25995203168343334,0.31223608799475394,0.6042447594605186,0.10153816826407358,0.11544363470635585,0.12909015144926936,0.14609209562521502,0.16410295904362726,0.18493063584190794,0.22668941980715593,0.2551935773512324,0.31404649209901847,0.1133085423211701,0.02582660622851572,0.02873618118169239,0.03464195980809228,0.03879816070229472,0.04334368062554783,0.048741450159939144,0.054213393382128494,0.22192464239871124,strahler1
min,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.004,0.006999999999999999,0.184,0.502,0.502,0.503,0.503,0.504,0.506,0.508,0.514,-0.018000000000000002,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,-1.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strahler1
1%,0.003,0.004,0.005,0.006,0.008,0.01,0.014329999999999999,0.01833,0.03033,0.506,0.508,0.51,0.512,0.515,0.519,0.529,0.537,0.56033,-0.0033399999999999997,0.00633,0.00733,0.00733,0.00833,0.009330000000000001,0.012,0.013999999999999999,0.021,-0.15632999999999997,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,strahler1
5%,0.006,0.006999999999999999,0.009000000000000001,0.011000000000000001,0.013999999999999999,0.017,0.026000000000000002,0.033,0.054000000000000006,0.511,0.51465,0.518,0.522,0.527,0.534,0.552,0.5670000000000001,0.608,0.009000000000000001,0.015,0.017,0.02,0.023650000000000004,0.025650000000000006,0.031650000000000005,0.03630000000000001,0.057999999999999996,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,strahler1
25%,0.018000000000000002,0.02225,0.027000000000000003,0.034,0.043,0.054000000000000006,0.08224999999999999,0.10800000000000001,0.172,0.535,0.545,0.555,0.569,0.585,0.608,0.665,0.716,0.8440000000000001,0.03425,0.042,0.048,0.055999999999999994,0.064,0.07325,0.095,0.1075,0.14725,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.006,strahler1
50%,0.037000000000000005,0.047,0.057,0.07,0.086,0.10750000000000001,0.155,0.193,0.298,0.574,0.594,0.614,0.6405,0.6715,0.715,0.8105,0.8859999999999999,1.096,0.0755,0.09,0.10300000000000001,0.11900000000000001,0.136,0.1565,0.20199999999999999,0.23,0.3005,0.003,0.004,0.005,0.006,0.006999999999999999,0.008,0.009000000000000001,0.01,0.012,strahler1
75%,0.069,0.084,0.10075,0.122,0.14750000000000002,0.17800000000000002,0.26,0.326,0.485,0.63675,0.669,0.701,0.743,0.7945,0.857,1.02,1.1520000000000001,1.47,0.156,0.18100000000000002,0.204,0.23149999999999998,0.26275000000000004,0.29875,0.37275,0.43,0.5489999999999999,0.006,0.009000000000000001,0.01,0.013000000000000001,0.015,0.017,0.019,0.022000000000000002,0.027000000000000003,strahler1
95%,0.1256999999999998,0.152,0.17800000000000002,0.21534999999999993,0.2573499999999999,0.3096999999999998,0.4193499999999999,0.5110499999999998,0.7663499999999999,0.7473999999999996,0.804,0.85635,0.9296999999999997,1.0143499999999999,1.1190999999999995,1.3390499999999999,1.5214499999999995,2.0327,0.302,0.3446999999999998,0.38439999999999963,0.43469999999999986,0.49034999999999995,0.5537499999999996,0.6750999999999995,0.758,0.9387499999999995,0.018000000000000002,0.027000000000000003,0.031349999999999906,0.03834999999999991,0.045,0.04869999999999982,0.05404999999999972,0.06,0.09269999999999981,strahler1
99%,0.19167999999999982,0.23100999999999988,0.26700999999999986,0.31367999999999985,0.3656799999999999,0.43367999999999984,0.57634,0.6800099999999998,0.93167,0.8750299999999996,0.9620199999999999,1.0343599999999997,1.1276899999999996,1.2323599999999997,1.3676899999999999,1.65235,1.8593499999999996,2.3630099999999996,0.44036999999999954,0.5123799999999994,0.5793899999999993,0.665739999999999,0.7594299999999988,0.8557199999999994,1.0503999999999991,1.1737699999999989,1.4507099999999995,0.042009999999999874,0.07835999999999968,0.08837999999999943,0.10506999999999912,0.11772999999999922,0.12902999999999964,0.1426899999999997,0.16035999999999967,0.30901999999999974,strahler1
max,0.198,0.237,0.281,0.33899999999999997,0.40700000000000003,0.494,0.696,0.857,1.27,0.8959999999999999,0.975,1.061,1.178,1.314,1.4880000000000002,1.893,2.214,11.17,0.804,0.922,1.032,1.167,1.308,1.4669999999999999,1.77,1.962,2.319,0.402,0.483,0.5379999999999999,0.648,0.726,0.8109999999999999,0.9129999999999999,1.015,6.34,strahler1
count,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,strahler2
