,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
count,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,strahler4
mean,0.1047596153846154,0.12751923076923072,0.15053846153846145,0.18186538461538462,0.21822115384615381,0.264923076923077,0.3758173076923077,0.46646153846153854,0.7116442307692309,4.104759615384616,4.127519230769231,4.150538461538462,4.181865384615382,4.218221153846156,4.264923076923077,4.375807692307691,4.466461538461538,4.71164423076923,0.4050192307692307,0.4784711538461537,0.550278846153846,0.6448846153846154,0.7511442307692306,0.8821730769230773,1.1719423076923081,1.3902500000000013,1.914730769230769,0.0006442307692307697,0.0009615384615384622,0.0010769230769230777,0.0015000000000000011,0.0017500000000000013,0.002096153846153848,0.002509615384615386,0.002961538461538464,0.0035480769230769255,strahler4
std,0.044880530774146166,0.05341684050828893,0.06182938049791368,0.073010846074476,0.0856079295767787,0.10106305753443055,0.13538924570613162,0.1612682697154888,0.22330813394240578,0.04488053077414612,0.053416840508288856,0.06182938049791374,0.073010846074476,0.08560792957677871,0.1010630575344305,0.1353870450932765,0.16126826971548883,0.22330813394240576,0.3279244816203945,0.3768248017297372,0.42315205228616753,0.482183953691855,0.5463237138865038,0.623046265830394,0.7870449688849107,0.9081568098418552,1.1974004061450352,0.00048106413658688206,0.0006061669628541811,0.0006183647035906497,0.0009030692003288145,0.0010310707037427184,0.001281073812090427,0.0014877832099338322,0.0017175455332248176,0.0020615754541730195,strahler4
min,0.022000000000000002,0.027999999999999997,0.034,0.043,0.053,0.067,0.10099999999999999,0.13,0.214,4.022,4.0280000000000005,4.034,4.043,4.053,4.067,4.101,4.13,4.2139999999999995,0.138,0.168,0.19699999999999998,0.237,0.282,0.33899999999999997,0.469,0.569,0.8190000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strahler4
1%,0.02403,0.03006,0.03706000000000001,0.04609,0.05709,0.07114999999999999,0.10627,0.13445000000000001,0.21595999999999999,4.02403,4.03006,4.037059999999999,4.04609,4.05709,4.07115,4.10627,4.13445,4.21596,0.13906000000000002,0.16909,0.19812000000000002,0.23715,0.28315,0.33920999999999996,0.46923999999999993,0.5702699999999999,0.82139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000000000000028e-05,strahler4
5%,0.031,0.03815,0.047150000000000004,0.0583,0.07245000000000001,0.08990000000000001,0.14415000000000003,0.1888,0.3133,4.031000000000001,4.03815,4.047149999999999,4.0583,4.07245,4.089899999999999,4.14415,4.1888000000000005,4.3133,0.16005,0.1922,0.22435,0.2675,0.31665,0.3778,0.51725,0.6246499999999999,0.86375,0.0,0.0,0.0,0.0,0.0,0.0,0.00015000000000000037,0.001,0.001,strahler4
25%,0.07525,0.09075,0.1065,0.1295,0.16374999999999998,0.20675,0.295,0.373,0.57275,4.0752500000000005,4.09075,4.1065000000000005,4.1295,4.16375,4.2067499999999995,4.295,4.373,4.57275,0.20550000000000002,0.24775,0.28800000000000003,0.34275,0.40575000000000006,0.48575,0.6732500000000001,0.81975,1.19075,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,strahler4
50%,0.10850000000000001,0.1305,0.1535,0.184,0.21949999999999997,0.265,0.3765,0.475,0.7204999999999999,4.1085,4.1305,4.1535,4.183999999999999,4.2195,4.265,4.3765,4.475,4.7204999999999995,0.27849999999999997,0.33499999999999996,0.3935,0.47250000000000003,0.5625,0.677,0.936,1.1265,1.5870000000000002,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.0035,strahler4
75%,0.142,0.17375000000000002,0.20600000000000002,0.24625000000000002,0.292,0.3495,0.484,0.5902499999999999,0.87475,4.1419999999999995,4.17375,4.206,4.24625,4.292,4.3495,4.484,4.590249999999999,4.87475,0.41050000000000003,0.5015000000000001,0.591,0.7004999999999999,0.818,0.9490000000000001,1.28625,1.54725,2.06725,0.001,0.001,0.001,0.002,0.002,0.003,0.003,0.004,0.005,strahler4
95%,0.17270000000000002,0.209,0.24755,0.2974,0.35455,0.42785,0.6020999999999999,0.7402,1.09355,4.172700000000001,4.209,4.24755,4.2974,4.354550000000001,4.42785,4.6021,4.7402,5.09355,1.0627499999999994,1.2345499999999994,1.4004999999999992,1.6154499999999994,1.8519999999999994,2.1379999999999995,2.652449999999999,3.105799999999998,4.165949999999998,0.001,0.002,0.002,0.003,0.0038499999999999945,0.004,0.005,0.006,0.006999999999999999,strahler4
99%,0.17591,0.21199999999999997,0.251,0.30396999999999996,0.365,0.44397000000000003,0.6279399999999999,0.77291,1.1478799999999998,4.17591,4.212,4.251,4.30397,4.365,4.44397,4.62794,4.77291,5.14788,1.4039699999999997,1.6334599999999997,1.8549499999999999,2.14226,2.45945,2.84443,3.6748799999999995,4.28454,5.685309999999999,0.001,0.002,0.002,0.003,0.004,0.005,0.006,0.006999999999999999,0.008,strahler4
max,0.179,0.21600000000000003,0.253,0.305,0.36700000000000005,0.446,0.63,0.7759999999999999,1.1540000000000001,4.178999999999999,4.216,4.253,4.305,4.367,4.446000000000001,4.63,4.776,5.154,2.065,2.41,2.7439999999999998,3.182,3.6719999999999997,4.275,5.614,6.635,9.165,0.001,0.002,0.002,0.003,0.004,0.005,0.006,0.006999999999999999,0.008,strahler4
