reach,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_avg,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_avg,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,flow_min,flow_q1,flow_q5,flow_q25,flow_q50,flow_avg,flow_q75,flow_q95,flow_q99,flow_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_avg,rtime_q75,rtime_q95,rtime_q99,rtime_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_avg,velocity_q75,velocity_q95,velocity_q99,velocity_max
101.000,0.082,0.103,0.122,0.149,0.180,0.191,0.219,0.309,0.381,0.574,0.665,0.705,0.745,0.798,0.860,0.883,0.937,1.118,1.263,1.648,72.055,106.676,147.773,213.604,304.913,372.886,444.696,873.398,1320.198,2929.484,0.010,0.013,0.014,0.018,0.020,0.020,0.023,0.026,0.030,0.050,0.012,0.020,0.022,0.026,0.029,0.030,0.033,0.041,0.046,0.057
1010.000,0.031,0.040,0.050,0.063,0.080,0.088,0.103,0.159,0.205,0.328,0.563,0.581,0.600,0.627,0.660,0.676,0.705,0.817,0.910,1.155,154.005,228.012,315.981,457.106,652.847,798.752,952.530,1870.572,2827.623,6279.226,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.007,0.008,0.107,0.122,0.134,0.149,0.163,0.166,0.179,0.208,0.227,0.269
1011.000,0.078,0.095,0.112,0.134,0.160,0.168,0.191,0.260,0.313,0.441,0.656,0.690,0.724,0.768,0.819,0.836,0.882,1.021,1.126,1.382,178.816,264.529,366.497,530.143,757.116,926.150,1104.656,2169.442,3280.173,7282.132,0.006,0.008,0.009,0.012,0.014,0.014,0.016,0.019,0.021,0.025,0.046,0.054,0.062,0.072,0.084,0.087,0.097,0.127,0.150,0.204
1012.000,0.069,0.084,0.100,0.120,0.144,0.152,0.173,0.237,0.286,0.404,0.637,0.669,0.700,0.741,0.788,0.803,0.846,0.974,1.071,1.308,178.862,264.439,366.436,530.112,757.244,926.144,1104.602,2169.442,3280.711,7282.421,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.053,0.062,0.071,0.083,0.095,0.099,0.110,0.144,0.170,0.232
1013.000,0.083,0.100,0.118,0.141,0.167,0.176,0.199,0.271,0.326,0.459,0.666,0.701,0.735,0.781,0.834,0.851,0.899,1.043,1.152,1.419,154.028,227.962,315.976,457.106,652.785,798.751,952.497,1870.572,2828.270,6279.630,0.007,0.010,0.011,0.015,0.017,0.017,0.020,0.023,0.026,0.031,0.037,0.044,0.051,0.059,0.068,0.071,0.079,0.104,0.122,0.166
1014.000,0.015,0.020,0.024,0.031,0.039,0.043,0.050,0.078,0.104,0.182,0.531,0.539,0.548,0.561,0.577,0.585,0.599,0.656,0.707,0.864,178.889,264.449,366.507,530.202,757.234,926.151,1104.568,2169.442,3280.709,7282.610,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.262,0.301,0.336,0.379,0.423,0.431,0.472,0.560,0.609,0.706
1016.000,0.074,0.088,0.101,0.120,0.140,0.147,0.165,0.221,0.263,0.366,0.647,0.675,0.703,0.739,0.780,0.793,0.830,0.942,1.026,1.232,178.891,264.447,366.503,530.203,757.221,926.150,1104.553,2169.442,3280.939,7282.601,0.004,0.006,0.007,0.010,0.012,0.012,0.014,0.017,0.019,0.024,0.049,0.060,0.070,0.083,0.098,0.103,0.117,0.158,0.190,0.267
1017.000,0.044,0.055,0.066,0.081,0.099,0.107,0.124,0.183,0.230,0.355,0.587,0.609,0.632,0.662,0.699,0.715,0.748,0.865,0.961,1.211,655.635,965.303,1335.809,1931.135,2756.636,3371.569,4020.458,7896.595,11928.848,26466.410,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.322,0.371,0.417,0.476,0.538,0.550,0.605,0.737,0.825,1.012
1018.000,0.158,0.197,0.236,0.288,0.347,0.367,0.420,0.582,0.705,1.007,0.816,0.895,0.973,1.077,1.194,1.233,1.340,1.664,1.910,2.513,655.642,965.276,1335.816,1931.147,2756.750,3371.571,4020.867,7896.595,11930.815,26465.689,0.006,0.007,0.008,0.010,0.011,0.011,0.012,0.013,0.014,0.019,0.061,0.082,0.089,0.099,0.109,0.112,0.121,0.146,0.163,0.203
1019.000,0.174,0.213,0.252,0.304,0.363,0.383,0.436,0.598,0.721,1.022,0.847,0.927,1.005,1.108,1.226,1.265,1.371,1.695,1.941,2.544,655.625,965.160,1335.934,1931.150,2756.573,3371.562,4020.850,7896.595,11927.528,26465.240,0.006,0.007,0.008,0.010,0.011,0.011,0.013,0.014,0.016,0.021,0.055,0.074,0.082,0.092,0.102,0.105,0.115,0.140,0.158,0.198
1020.000,0.041,0.052,0.064,0.080,0.100,0.108,0.126,0.191,0.245,0.395,0.582,0.604,0.627,0.660,0.699,0.717,0.752,0.881,0.990,1.290,655.643,965.342,1335.764,1931.227,2756.652,3371.572,4020.411,7896.595,11929.741,26466.076,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.345,0.391,0.434,0.485,0.537,0.545,0.594,0.697,0.760,0.870
1021.000,0.175,0.214,0.253,0.305,0.364,0.383,0.436,0.598,0.721,1.022,1.350,1.429,1.507,1.610,1.727,1.767,1.872,2.196,2.442,3.043,3170.511,4674.313,6470.571,9355.980,13358.947,16336.666,19484.286,38267.020,57844.528,128318.680,0.002,0.002,0.002,0.003,0.004,0.004,0.004,0.005,0.006,0.006,0.179,0.209,0.237,0.273,0.313,0.325,0.362,0.466,0.542,0.722
1022.000,0.105,0.129,0.151,0.181,0.215,0.225,0.256,0.346,0.414,0.578,0.711,0.758,0.803,0.862,0.929,0.951,1.011,1.192,1.327,1.655,506.279,749.037,1038.175,1501.860,2144.759,2623.979,3129.322,6145.431,9292.723,20627.586,0.002,0.002,0.003,0.004,0.004,0.004,0.005,0.005,0.006,0.007,0.092,0.108,0.122,0.141,0.163,0.169,0.188,0.244,0.286,0.385
1023.000,0.118,0.141,0.163,0.192,0.224,0.235,0.264,0.351,0.417,0.576,0.737,0.782,0.826,0.884,0.949,0.969,1.028,1.203,1.334,1.652,506.265,749.011,1038.086,1501.691,2145.042,2623.999,3129.301,6145.431,9290.883,20628.623,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.080,0.096,0.112,0.131,0.154,0.160,0.180,0.239,0.282,0.387
1024.000,0.051,0.065,0.078,0.097,0.119,0.127,0.147,0.213,0.264,0.396,0.603,0.629,0.656,0.694,0.738,0.755,0.794,0.925,1.029,1.291,506.244,749.079,1038.095,1501.736,2144.784,2623.973,3129.157,6145.431,9289.172,20629.656,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.208,0.239,0.267,0.302,0.339,0.349,0.383,0.472,0.534,0.677
1025.000,0.031,0.040,0.048,0.060,0.074,0.080,0.093,0.138,0.175,0.273,0.563,0.579,0.596,0.620,0.648,0.661,0.686,0.776,0.850,1.046,541.966,801.694,1111.056,1607.106,2295.478,2808.056,3348.958,6576.801,9942.105,22076.426,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.379,0.437,0.490,0.556,0.626,0.643,0.707,0.869,0.979,1.216
1026.000,0.035,0.045,0.054,0.068,0.084,0.091,0.105,0.156,0.197,0.307,0.571,0.589,0.609,0.636,0.668,0.682,0.710,0.812,0.895,1.114,506.252,749.075,1038.103,1501.691,2144.804,2623.992,3129.330,6145.431,9290.030,20629.076,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.312,0.358,0.401,0.453,0.509,0.522,0.573,0.699,0.785,0.969
1028.000,0.057,0.073,0.089,0.112,0.140,0.153,0.178,0.267,0.341,0.534,0.614,0.645,0.678,0.725,0.781,0.805,0.855,1.035,1.182,1.569,632.607,935.017,1295.597,1874.333,2676.862,3273.796,3904.494,7669.280,11592.582,25742.541,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.232,0.261,0.287,0.317,0.346,0.350,0.378,0.435,0.470,0.541
